"id" "date" "base" "base_trend+meanShift" "base_mean_adj" "base_anomaly" "fit_of_base_anomaly" "annualC+meanShifts" "QM_adjusted" "fit_of_deseason_base"
1 1953-01-01 13.98 11.9613 9.4703 4.8601 3.6694 12.7894 8.8153 4.0207
2 1953-02-01 11.99 11.964 7.4803 3.0234 3.6721 12.6387 7.5479 4.0134
3 1953-03-01 13.02 11.9666 8.5103 3.7019 3.6747 12.9928 8.1632 4.0061
4 1953-04-01 11.26 11.9693 6.7503 1.9885 3.6774 12.9489 6.9937 3.9989
5 1953-05-01 12.21 11.972 7.7003 3.7221 3.68 12.168 7.6488 3.9916
6 1953-06-01 10.96 11.9746 6.4503 2.8749 3.6827 11.7678 6.7409 3.9843
7 1953-07-01 11.48 11.9773 6.9703 4.223 3.6854 10.9423 7.168 3.977
8 1953-08-01 9.54 11.9799 5.0303 2.8391 3.688 10.3889 5.501 3.9697
9 1953-09-01 10.55 11.9826 6.0403 4.0827 3.6907 10.158 6.399 3.9624
10 1953-10-01 9.89 11.9852 5.3803 2.5967 3.6933 10.9867 5.8366 3.9551
11 1953-11-01 15.23 11.9879 10.7203 6.3689 3.696 12.557 9.9428 3.9478
12 1953-12-01 13.74 11.9906 9.2303 4.0658 3.6986 13.3728 8.6638 3.9406
13 1954-01-01 14.97 11.9932 10.4603 5.8501 3.7013 12.8212 9.6925 3.9333
14 1954-02-01 15.04 11.9959 10.5303 6.0734 3.704 12.6706 9.7589 3.926
15 1954-03-01 14.04 11.9985 9.5303 4.7219 3.7066 13.0247 8.856 3.9187
16 1954-04-01 14.53 12.0012 10.0203 5.2585 3.7093 12.9808 9.3035 3.9114
17 1954-05-01 12.93 12.0038 8.4203 4.4421 3.7119 12.1999 8.1384 3.9041
18 1954-06-01 13.39 12.0065 8.8803 5.3049 3.7146 11.7997 8.4802 3.8968
19 1954-07-01 11.46 12.0092 6.9503 4.203 3.7172 10.9742 7.1674 3.8895
20 1954-08-01 9.59 12.0118 5.0803 2.8891 3.7199 10.4208 5.5494 3.8822
21 1954-09-01 9.17 12.0145 4.6603 2.7027 3.7226 10.1898 5.1383 3.875
22 1954-10-01 10.86 12.0171 6.3503 3.5667 3.7252 11.0185 6.664 3.8677
23 1954-11-01 11.82 12.0198 7.3103 2.9589 3.7279 12.5889 7.4377 3.8604
24 1954-12-01 14.29 12.0224 9.7803 4.6158 3.7305 13.4047 9.0879 3.8531
25 1955-01-01 10.99 12.0251 6.4803 1.8701 3.7332 12.8531 6.7747 3.8458
26 1955-02-01 13 12.0278 8.4903 4.0334 3.7358 12.7025 8.1826 3.8385
27 1955-03-01 15.78 12.0304 11.2703 6.4619 3.7385 13.0566 10.4848 3.8312
28 1955-04-01 15.89 12.0331 11.3803 6.6185 3.7412 13.0127 10.5936 3.8239
29 1955-05-01 13.63 12.0357 9.1203 5.1421 3.7438 12.2317 8.6674 3.8167
30 1955-06-01 11.43 12.0384 6.9203 3.3449 3.7465 11.8316 7.142 3.8094
31 1955-07-01 10.53 12.041 6.0203 3.273 3.7491 11.0061 6.3915 3.8021
32 1955-08-01 10.84 12.0437 6.3303 4.1391 3.7518 10.4527 6.652 3.7948
33 1955-09-01 10.17 12.0464 5.6603 3.7027 3.7544 10.2217 6.0895 3.7875
34 1955-10-01 12.41 12.049 7.9003 5.1167 3.7571 11.0504 7.8177 3.7802
35 1955-11-01 15.92 12.0517 11.4103 7.0589 3.7598 12.6208 10.6226 3.7729
36 1955-12-01 15.69 12.0543 11.1803 6.0158 3.7624 13.4366 10.3963 3.7656
37 1956-01-01 14.09 12.057 9.5803 4.9701 3.7651 12.885 8.9155 3.7583
38 1956-02-01 14.62 12.0596 10.1103 5.6534 3.7677 12.7344 9.3792 3.7511
39 1956-03-01 15.15 12.0623 10.6403 5.8319 3.7704 13.0885 9.8657 3.7438
40 1956-04-01 13.65 12.065 9.1403 4.3785 3.773 13.0446 8.7006 3.7365
41 1956-05-01 12.38 12.0676 7.8703 3.8921 3.7757 12.2636 7.7982 3.7292
42 1956-06-01 12.58 12.0703 8.0703 4.4949 3.7784 11.8635 7.9553 3.7219
43 1956-07-01 10.65 12.0729 6.1403 3.393 3.781 11.038 6.4948 3.7146
44 1956-08-01 9.2 12.0756 4.6903 2.4991 3.7837 10.4845 5.1691 3.7073
45 1956-09-01 10.5 12.0782 5.9903 4.0327 3.7863 10.2536 6.3697 3.7
46 1956-10-01 12.73 12.0809 8.2203 5.4367 3.789 11.0823 8.025 3.6928
47 1956-11-01 10.21 12.0836 5.7003 1.3489 3.7916 12.6527 6.1261 3.6855
48 1956-12-01 15.03 12.0862 10.5203 5.3558 3.7943 13.4685 9.7609 3.6782
49 1957-01-01 12.95 12.0889 8.4403 3.8301 3.797 12.9169 8.2209 3.6709
50 1957-02-01 14.03 12.0915 9.5203 5.0634 3.7996 12.7662 8.9076 3.6636
51 1957-03-01 13.84 12.0942 9.3303 4.5219 3.8023 13.1204 8.7758 3.6563
52 1957-04-01 13.01 12.0968 8.5003 3.7385 3.8049 13.0764 8.2437 3.649
53 1957-05-01 10.44 12.0995 5.9303 1.9521 3.8076 12.2955 6.3259 3.6417
54 1957-06-01 13 12.1022 8.4903 4.9149 3.8102 11.8953 8.2586 3.6344
55 1957-07-01 12.16 12.1048 7.6503 4.903 3.8129 11.0699 7.7013 3.6272
56 1957-08-01 9.83 12.1075 5.3203 3.1291 3.8156 10.5164 5.7814 3.6199
57 1957-09-01 8.83 12.1101 4.3203 2.3627 3.8182 10.2855 4.8017 3.6126
58 1957-10-01 11.72 12.1128 7.2103 4.4267 3.8209 11.1142 7.3923 3.6053
59 1957-11-01 10.53 12.1154 6.0203 1.6689 3.8235 12.6846 6.4079 3.598
60 1957-12-01 17.26 12.1181 12.7503 7.5858 3.8262 13.5003 11.9628 3.5907
61 1958-01-01 13.28 12.1208 8.7703 4.1601 3.8288 12.9488 8.3835 3.5834
62 1958-02-01 11.15 12.1234 6.6403 2.1834 3.8315 12.7981 6.9156 3.5761
63 1958-03-01 12.26 12.1261 7.7503 2.9419 3.8342 13.1522 7.7382 3.5689
64 1958-04-01 15.1 12.1287 10.5903 5.8285 3.8368 13.1083 9.8265 3.5616
65 1958-05-01 10.98 12.1314 6.4703 2.4921 3.8395 12.3274 6.7801 3.5543
66 1958-06-01 10.45 12.134 5.9403 2.3649 3.8421 11.9272 6.3399 3.547
67 1958-07-01 9.76 12.1367 5.2503 2.503 3.8448 11.1018 5.7176 3.5397
68 1958-08-01 11.13 12.1394 6.6203 4.4291 3.8474 10.5483 6.9071 3.5324
69 1958-09-01 11.52 12.142 7.0103 5.0527 3.8501 10.3174 7.2365 3.5251
70 1958-10-01 10.22 12.1447 5.7103 2.9267 3.8528 11.1461 6.1462 3.5178
71 1958-11-01 13.68 12.1473 9.1703 4.8189 3.8554 12.7165 8.7437 3.5105
72 1958-12-01 13.8 12.15 9.2903 4.1258 3.8581 13.5322 8.7856 3.5033
73 1959-01-01 15.58 12.1526 11.0703 6.4601 3.8607 12.9807 10.2881 3.496
74 1959-02-01 14.7 12.1553 10.1903 5.7334 3.8634 12.83 9.4661 3.4887
75 1959-03-01 14.89 12.158 10.3803 5.5719 3.866 13.1841 9.6427 3.4814
