"id" "date" "base" "base_trend+meanShift" "base_mean_adj" "base_anomaly" "fit_of_base_anomaly" "annualC+meanShifts" "QM_adjusted" "fit_of_deseason_base"
1 1953-01-01 13.98 11.9618 9.4733 4.86 3.6684 12.7884 8.8041 4.019
2 1953-02-01 11.99 11.9645 7.4833 3.0233 3.671 12.6377 7.5389 4.0117
3 1953-03-01 13.02 11.9671 8.5133 3.7024 3.6737 12.9912 8.1532 4.0044
4 1953-04-01 11.26 11.9698 6.7533 1.989 3.6763 12.9473 6.9879 3.9971
5 1953-05-01 12.21 11.9725 7.7033 3.7226 3.679 12.1664 7.6393 3.9898
6 1953-06-01 10.96 11.9751 6.4533 2.8754 3.6816 11.7662 6.7371 3.9826
7 1953-07-01 11.48 11.9778 6.9733 4.2023 3.6843 10.962 7.1608 3.9753
8 1953-08-01 9.54 11.9804 5.0333 2.8391 3.6869 10.3878 5.5032 3.968
9 1953-09-01 10.55 11.9831 6.0433 4.0827 3.6896 10.1569 6.3978 3.9607
10 1953-10-01 9.89 11.9857 5.3833 2.5966 3.6922 10.9856 5.8384 3.9534
11 1953-11-01 15.23 11.9884 10.7233 6.3689 3.6949 12.556 9.931 3.9461
12 1953-12-01 13.74 11.991 9.2333 4.0658 3.6975 13.3717 8.6529 3.9388
13 1954-01-01 14.97 11.9937 10.4633 5.85 3.7002 12.8202 9.6808 3.9315
14 1954-02-01 15.04 11.9963 10.5333 6.0733 3.7028 12.6695 9.7472 3.9242
15 1954-03-01 14.04 11.999 9.5333 4.7224 3.7055 13.023 8.8446 3.917
16 1954-04-01 14.53 12.0016 10.0233 5.259 3.7081 12.9791 9.292 3.9097
17 1954-05-01 12.93 12.0043 8.4233 4.4426 3.7108 12.1982 8.1413 3.9024
18 1954-06-01 13.39 12.0069 8.8833 5.3054 3.7134 11.798 8.4701 3.8951
19 1954-07-01 11.46 12.0096 6.9533 4.1823 3.7161 10.9938 7.1607 3.8878
20 1954-08-01 9.59 12.0122 5.0833 2.8891 3.7187 10.4196 5.5515 3.8805
21 1954-09-01 9.17 12.0149 4.6633 2.7027 3.7214 10.1887 5.1407 3.8732
22 1954-10-01 10.86 12.0175 6.3533 3.5666 3.724 11.0174 6.6612 3.8659
23 1954-11-01 11.82 12.0202 7.3133 2.9589 3.7267 12.5878 7.4292 3.8587
24 1954-12-01 14.29 12.0228 9.7833 4.6158 3.7293 13.4035 9.0765 3.8514
