10 changepoints in Series  ,  
kind,Idc,date,probL,probU,plev,PFx,PFx95l,PFx95h
1,Yes ,19600200,1,1,0.95,5.3553,3.0635,3.5582
1,Yes ,19650700,0.9999,0.9999,0.95,4.1634,3.0977,3.6009
1,Yes ,19800300,1,1,0.95,5.2305,3.0905,3.5927
1,Yes ,19820800,1,1,0.95,4.6415,3.0237,3.5
1,Yes ,19850200,1,1,0.95,4.7195,3.0005,3.4712
1,Yes ,19851100,0.9999,0.9999,0.95,3.8607,3.0457,3.5283
1,Yes ,19930200,1,1,0.95,9.1678,3.0469,3.5342
1,Yes ,19940600,1,1,0.95,5.9064,2.9845,3.4552
1,?   ,19950900,0.9965,0.9971,0.95,3.034,2.9929,3.4612
1,Yes ,19970400,1,1,0.95,8.2999,3.0497,3.5398
