"id" "date" "base" "base_trend+meanShift.ref" "base_mean_adj.ref" "base_trend+meanShift.base" "base_mean_adj.base" "base_anomaly" "fit_of_base_anomaly" "annualC+meanShifts" "QM_adjusted" "fit_of_deseason_base"
1 1954-01-01 6.45 7.4228 6.719 7.4522 7.1659 0.2534 -0.3292 5.8674 6.8517 -1.9914
2 1954-02-01 7.92 7.4222 8.189 7.451 8.6359 0.8334 -0.3304 6.7562 8.3217 -1.9891
3 1954-03-01 8.03 7.4215 8.299 7.4497 8.7459 -0.6374 -0.3317 8.3357 8.4317 -1.9869
4 1954-04-01 9.28 7.4209 9.549 7.4484 9.9959 -0.0341 -0.333 8.9811 9.6817 -1.9847
5 1954-05-01 8.37 7.4202 8.639 7.4472 9.0859 -0.7479 -0.3342 8.7837 8.7717 -1.9824
6 1954-06-01 7.17 7.4195 7.439 7.4459 7.8859 -1.5971 -0.3355 8.4316 7.5717 -1.9802
7 1954-07-01 7.85 7.4189 8.119 7.4446 8.5659 -0.812 -0.3368 8.3252 8.2517 -1.978
8 1954-08-01 6.01 7.4182 6.279 7.4434 6.7259 -2.1157 -0.338 7.7877 6.4117 -1.9757
9 1954-09-01 5.85 7.4176 6.119 7.4421 6.5659 -1.3946 -0.3393 6.9053 6.2517 -1.9735
10 1954-10-01 6.43 7.4169 6.699 7.4409 7.1459 -0.5564 -0.3406 6.6458 6.8317 -1.9713
11 1954-11-01 6.94 7.4162 7.209 7.4396 7.6559 0.2835 -0.3418 6.3147 7.3417 -1.969
12 1954-12-01 8.65 7.4156 8.919 7.4383 9.3659 2.098 -0.3431 6.2089 9.0517 -1.9668
13 1955-01-01 6.22 7.4149 6.489 7.4371 6.9359 0.0234 -0.3444 5.8523 6.6217 -1.9646
14 1955-02-01 7.64 7.4142 7.909 7.4358 8.3559 0.5534 -0.3456 6.741 8.0417 -1.9623
15 1955-03-01 9.3 7.4136 9.569 7.4345 10.0159 0.6326 -0.3469 8.3205 9.7017 -1.9601
16 1955-04-01 9.63 7.4129 9.899 7.4333 10.3459 0.3159 -0.3482 8.9659 10.0317 -1.9579
17 1955-05-01 9.26 7.4123 9.529 7.432 9.9759 0.1421 -0.3494 8.7685 9.6617 -1.9556
18 1955-06-01 7.9 7.4116 8.169 7.4307 8.6159 -0.8671 -0.3507 8.4164 8.3017 -1.9534
19 1955-07-01 7.07 7.4109 7.339 7.4295 7.7859 -1.592 -0.352 8.31 7.4717 -1.9512
20 1955-08-01 7.27 7.4103 7.539 7.4282 7.9859 -0.8557 -0.3532 7.7725 7.6717 -1.9489
21 1955-09-01 6.74 7.4096 7.009 7.4269 7.4559 -0.5046 -0.3545 6.8901 7.1417 -1.9467
22 1955-10-01 6.82 7.409 7.089 7.4257 7.5359 -0.1664 -0.3557 6.6306 7.2217 -1.9445
23 1955-11-01 7.51 7.4083 7.779 7.4244 8.2259 0.8535 -0.357 6.2995 7.9117 -1.9422
24 1955-12-01 6.08 7.4076 6.349 7.4231 6.7959 -0.472 -0.3583 6.1937 6.4817 -1.94
25 1956-01-01 6.66 7.407 6.929 7.4219 7.3759 0.4634 -0.3595 5.8371 7.0617 -1.9378
26 1956-02-01 6.91 7.4063 7.179 7.4206 7.6259 -0.1766 -0.3608 6.7258 7.3117 -1.9355
27 1956-03-01 9.45 7.4057 9.719 7.4193 10.1659 0.7826 -0.3621 8.3053 9.8517 -1.9333
28 1956-04-01 8.76 7.405 9.029 7.4181 9.4759 -0.5541 -0.3633 8.9507 9.1617 -1.9311
29 1956-05-01 9.41 7.4043 9.679 7.4168 10.1259 0.2921 -0.3646 8.7533 9.8117 -1.9288
30 1956-06-01 7.73 7.4037 7.999 7.4155 8.4459 -1.0371 -0.3659 8.4013 8.1317 -1.9266
31 1956-07-01 8.38 7.403 8.649 7.4143 9.0959 -0.282 -0.3671 8.2948 8.7817 -1.9244
32 1956-08-01 7.04 7.4023 7.309 7.413 7.7559 -1.0857 -0.3684 7.7573 7.4417 -1.9222
33 1956-09-01 6.96 7.4017 7.229 7.4117 7.6759 -0.2846 -0.3697 6.8749 7.3617 -1.9199
34 1956-10-01 7.45 7.401 7.719 7.4105 8.1659 0.4636 -0.3709 6.6154 7.8517 -1.9177
35 1956-11-01 5.16 7.4004 5.429 7.4092 5.8759 -1.4965 -0.3722 6.2843 5.5617 -1.9155
36 1956-12-01 6.57 7.3997 6.839 7.4079 7.2859 0.018 -0.3735 6.1785 6.9717 -1.9132
37 1957-01-01 5.57 7.399 5.839 7.4067 6.2859 -0.6266 -0.3747 5.8219 5.9717 -1.911
38 1957-02-01 7.38 7.3984 7.649 7.4054 8.0959 0.2934 -0.376 6.7106 7.7817 -1.9088
39 1957-03-01 8.05 7.3977 8.319 7.4041 8.7659 -0.6174 -0.3773 8.2901 8.4517 -1.9065
40 1957-04-01 7.78 7.3971 8.049 7.4029 8.4959 -1.5341 -0.3785 8.9355 8.1817 -1.9043
41 1957-05-01 7.39 7.3964 7.659 7.4016 8.1059 -1.7279 -0.3798 8.7381 7.7917 -1.9021
42 1957-06-01 8 7.3957 8.269 7.4004 8.7159 -0.7671 -0.3811 8.3861 8.4017 -1.8998
43 1957-07-01 7.49 7.3951 7.759 7.3991 8.2059 -1.172 -0.3823 8.2797 7.8917 -1.8976
44 1957-08-01 6.56 7.3944 6.829 7.3978 7.2759 -1.5657 -0.3836 7.7422 6.9617 -1.8954
45 1957-09-01 6.38 7.3937 6.649 7.3966 7.0959 -0.8646 -0.3849 6.8597 6.7817 -1.8931
46 1957-10-01 6.49 7.3931 6.759 7.3953 7.2059 -0.4964 -0.3861 6.6003 6.8917 -1.8909
47 1957-11-01 6.16 7.3924 6.429 7.394 6.8759 -0.4965 -0.3874 6.2692 6.5617 -1.8887
48 1957-12-01 9.31 7.3918 9.579 7.3928 10.0259 2.758 -0.3887 6.1633 9.7117 -1.8864
49 1958-01-01 6.67 7.3911 6.939 7.3915 7.3859 0.4734 -0.3899 5.8067 7.0717 -1.8842
50 1958-02-01 5.63 7.3904 5.899 7.3902 6.3459 -1.4566 -0.3912 6.6954 6.0317 -1.882
51 1958-03-01 7.55 7.3898 7.819 7.389 8.2659 -1.1174 -0.3925 8.2749 7.9517 -1.8797
52 1958-04-01 8.71 7.3891 8.979 7.3877 9.4259 -0.6041 -0.3937 8.9203 9.1117 -1.8775
53 1958-05-01 7.8 7.3885 8.069 7.3864 8.5159 -1.3179 -0.395 8.7229 8.2017 -1.8753
54 1958-06-01 7.13 7.3878 7.399 7.3852 7.8459 -1.6371 -0.3963 8.3709 7.5317 -1.873
55 1958-07-01 7.83 7.3871 8.099 7.3839 8.5459 -0.832 -0.3975 8.2645 8.2317 -1.8708
56 1958-08-01 7.67 7.3865 7.939 7.3826 8.3859 -0.4557 -0.3988 7.727 8.0717 -1.8686
57 1958-09-01 7.3 7.3858 7.569 7.3814 8.0159 0.0554 -0.4 6.8445 7.7017 -1.8663
58 1958-10-01 6.12 7.3852 6.389 7.3801 6.8359 -0.8664 -0.4013 6.5851 6.5217 -1.8641
59 1958-11-01 7.22 7.3845 7.489 7.3788 7.9359 0.5635 -0.4026 6.254 7.6217 -1.8619
60 1958-12-01 6.43 7.3838 6.699 7.3776 7.1459 -0.122 -0.4038 6.1481 6.8317 -1.8596
61 1959-01-01 7.37 7.3832 7.639 7.3763 8.0859 1.1734 -0.4051 5.7915 7.7717 -1.8574
62 1959-02-01 6.9 7.3825 7.169 7.375 7.6159 -0.1866 -0.4064 6.6802 7.3017 -1.8552
63 1959-03-01 8.73 7.3818 8.999 7.3738 9.4459 0.0626 -0.4076 8.2598 9.1317 -1.853
64 1959-04-01 8.44 7.3812 8.709 7.3725 9.1559 -0.8741 -0.4089 8.9052 8.8417 -1.8507
65 1959-05-01 7.8 7.3805 8.069 7.3712 8.5159 -1.3179 -0.4102 8.7077 8.2017 -1.8485
66 1959-06-01 7.81 7.3799 8.079 7.37 8.5259 -0.9571 -0.4114 8.3557 8.2117 -1.8463
67 1959-07-01 8.54 7.3792 8.809 7.3687 9.2559 -0.122 -0.4127 8.2493 8.9417 -1.844
68 1959-08-01 7.6 7.3785 7.869 7.3674 8.3159 -0.5257 -0.414 7.7118 8.0017 -1.8418
69 1959-09-01 6.57 7.3779 6.839 7.3662 7.2859 -0.6746 -0.4152 6.8294 6.9717 -1.8396
70 1959-10-01 5.92 7.3772 6.189 7.3649 6.6359 -1.0664 -0.4165 6.5699 6.3217 -1.8373
71 1959-11-01 6.58 7.3766 6.849 7.3636 7.2959 -0.0765 -0.4178 6.2388 6.9817 -1.8351
72 1959-12-01 6.4 7.3759 6.669 7.3624 7.1159 -0.152 -0.419 6.133 6.8017 -1.8329
73 1960-01-01 5.91 7.3752 6.179 7.3611 6.6259 -0.2866 -0.4203 5.7763 6.3117 -1.8306
74 1960-02-01 7.65 7.3746 7.919 7.3599 8.3659 0.5634 -0.4216 6.6651 8.0517 -1.8284
75 1960-03-01 7.73 6.2997 9.0732 6.3819 9.4218 -0.9374 -1.3995 7.2679 8.9022 -1.8262
76 1960-04-01 9.52 6.299 10.8632 6.3806 11.2118 0.2059 -1.4008 7.9133 10.6922 -1.8239
77 1960-05-01 8.15 6.2984 9.4932 6.3793 9.8418 -0.9679 -1.4021 7.7158 9.3222 -1.8217
78 1960-06-01 7.03 6.2977 8.3732 6.3781 8.7218 -1.7371 -1.4033 7.3638 8.2022 -1.8195
79 1960-07-01 7.87 6.297 9.2132 6.3768 9.5618 -0.792 -1.4046 7.2574 9.0422 -1.8172
80 1960-08-01 6.83 6.2964 8.1732 6.3755 8.5218 -1.2957 -1.4059 6.7199 8.0022 -1.815
81 1960-09-01 6.87 6.2957 8.2132 6.3743 8.5618 -0.3746 -1.4071 5.8375 8.0422 -1.8128
82 1960-10-01 7.5 6.2951 8.8432 6.373 9.1918 0.5136 -1.4084 5.578 8.6722 -1.8105
83 1960-11-01 5.3 6.2944 6.6432 6.3717 6.9918 -1.3565 -1.4097 5.2469 6.4722 -1.8083
84 1960-12-01 2.67 6.2937 4.0132 6.3705 4.3618 -3.882 -1.4109 5.1411 3.8422 -1.8061
85 1961-01-01 4.76 6.2931 6.1032 6.3692 6.4518 -1.4366 -1.4122 4.7844 5.9322 -1.8038
