"id" "date" "base" "base_trend+meanShift.ref" "base_mean_adj.ref" "base_trend+meanShift.base" "base_mean_adj.base" "base_anomaly" "fit_of_base_anomaly" "annualC+meanShifts" "QM_adjusted" "fit_of_deseason_base"
1 1954-01-01 6.45 7.4296 5.7177 7.5802 8.1979 0.1211 -0.2757 6.0532 4.8436 -2.066
2 1954-02-01 7.92 7.429 7.1877 7.5754 9.6679 0.7425 -0.2805 6.8969 6.3136 -2.0638
3 1954-03-01 8.03 7.4283 7.2977 7.5705 9.7779 -0.7138 -0.2853 8.4585 6.4236 -2.0616
4 1954-04-01 9.28 7.4276 8.5477 7.5657 11.0279 -0.0852 -0.2901 9.0751 7.6736 -2.0593
5 1954-05-01 8.37 7.4269 7.6377 7.5609 10.1179 -0.768 -0.295 8.843 6.7636 -2.0571
6 1954-06-01 7.17 7.4262 6.4377 7.5561 8.9179 -1.6172 -0.2998 8.4875 5.5636 -2.0549
7 1954-07-01 7.85 7.4255 7.1177 7.5513 9.5979 -0.8079 -0.3046 8.3534 6.2436 -2.0526
8 1954-08-01 6.01 7.4249 5.2777 7.5465 7.7579 -2.1877 -0.3094 7.8883 4.4036 -2.0504
9 1954-09-01 5.85 7.4242 5.1177 7.5417 7.5979 -1.4614 -0.3142 6.9973 4.2436 -2.0482
10 1954-10-01 6.43 7.4235 5.6977 7.5369 8.1779 -0.6624 -0.319 6.7735 4.8236 -2.0459
11 1954-11-01 6.94 7.4228 6.2077 7.5321 8.6879 0.1702 -0.3238 6.446 5.3336 -2.0437
12 1954-12-01 8.65 7.4221 7.9177 7.5273 10.3979 1.9492 -0.3286 6.3722 7.0436 -2.0415
13 1955-01-01 6.22 7.4214 5.4877 7.5225 7.9679 -0.1089 -0.3334 5.9955 4.6136 -2.0392
14 1955-02-01 7.64 7.4208 6.9077 7.5177 9.3879 0.4625 -0.3382 6.8393 6.0336 -2.037
15 1955-03-01 9.3 7.4201 8.5677 7.5129 11.0479 0.5562 -0.343 8.4008 7.6936 -2.0348
16 1955-04-01 9.63 7.4194 8.8977 7.5081 11.3779 0.2648 -0.3478 9.0174 8.0236 -2.0326
17 1955-05-01 9.26 7.4187 8.5277 7.5033 11.0079 0.122 -0.3526 8.7854 7.6536 -2.0303
18 1955-06-01 7.9 7.418 7.1677 7.4985 9.6479 -0.8872 -0.3574 8.4298 6.2936 -2.0281
19 1955-07-01 7.07 7.4173 6.3377 7.4937 8.8179 -1.5879 -0.3622 8.2957 5.4636 -2.0259
20 1955-08-01 7.27 7.4167 6.5377 7.4889 9.0179 -0.9277 -0.367 7.8306 5.6636 -2.0236
21 1955-09-01 6.74 7.416 6.0077 7.4841 8.4879 -0.5714 -0.3718 6.9396 5.1336 -2.0214
