11 changepoints in Series  
kind,Idc,date,Ic,Nseg,stepsize,probL,probU,plev,PFx,PFx95l,PFx95h,prob,PFx95
1,Yes ,19600200,74,139,-0.9772,1,1,0.95,5.3553,3.002,3.4871,1,3.2357
1,Yes ,19650700,139,168,-0.6518,0.9998,0.9999,0.95,3.9531,3.0136,3.5017,0.9999,3.2479
0,Yes ,19740200,242,124,-1.0016,0.9999,1,0.95,4.1114,2.996,3.4771,1,3.2286
0,Yes ,19751100,263,72,1.1105,1,1,0.95,4.588,2.9703,3.4445,1,3.1993
1,Yes ,19800300,314,80,-1.25,1,1,0.95,6.1548,2.9764,3.4476,1,3.2007
1,Yes ,19820800,343,59,1.0391,1,1,0.95,4.6415,2.9644,3.4325,1,3.1876
1,Yes ,19850200,373,39,2.3436,1,1,0.95,4.7195,2.9444,3.4025,1,3.1673
1,Yes ,19851100,382,96,-1.6681,0.9999,0.9999,0.95,3.8607,2.9863,3.4605,0.9999,3.2101
1,Yes ,19930200,469,103,2.8042,1,1,0.95,9.1678,2.9876,3.4661,1,3.2129
1,Yes ,19940600,485,50,1.9325,0.9999,1,0.95,4.3806,2.9564,3.4245,0.9999,3.1793
1,Yes ,19970400,519,125,-2.9665,1,1,0.95,12.6841,2.9964,3.4776,1,3.2293
