28 changepoints in Series  
kind,Idc,date,probL,probU,plev,PFx,PFx95l,PFx95h
1,Yes ,19600200,1,1,0.95,5.3553,2.7203,3.1465
1,Yes ,19650700,0.9999,0.9999,0.95,4.1592,2.6966,3.1175
0,YifD,19670400,0.9775,0.9805,0.95,2.1362,2.6458,3.0496
0,Yes ,19671000,1,1,0.95,7.1857,2.5698,2.9617
0,YifD,19680900,0.9823,0.9849,0.95,2.172,2.6866,3.1055
0,YifD,19730200,0.991,0.9915,0.95,2.4609,2.6866,3.1055
0,Yes ,19740200,1,1,0.95,5.6563,2.6666,3.0755
0,Yes ,19760100,1,1,0.95,4.8148,2.653,3.0537
0,Yes ,19760700,0.998,0.999,0.95,3.8946,2.1417,2.4626
0,Yes ,19761200,0.9979,0.9989,0.95,3.5794,2.4394,2.81
0,Yes ,19770900,0.9994,0.9997,0.95,4.2513,2.5386,2.9258
0,Yes ,19780300,0.9975,0.9979,0.95,3.5089,2.5542,2.9437
0,YifD,19790100,0.9729,0.9757,0.95,2.1134,2.6298,3.0335
1,Yes ,19800300,0.9986,0.9988,0.95,3.4592,2.6566,3.0558
0,YifD,19810800,0.9724,0.9763,0.95,2.1602,2.653,3.0537
1,No  ,19820800,0.9824,0.9851,0.95,2.3256,2.6718,3.0797
1,Yes ,19850200,0.9999,1,0.95,4.7195,2.6682,3.0757
1,Yes ,19851100,0.9995,0.9997,0.95,4.4594,2.5542,2.9437
0,YifD,19860600,0.9982,0.9983,0.95,2.9655,2.6866,3.1055
0,YifD,19910400,0.9981,0.9984,0.95,3.0602,2.6915,3.1055
0,YifD,19920200,0.9675,0.9685,0.95,2.0408,2.6254,3.0275
1,Yes ,19930200,1,1,0.95,6.7145,2.6494,3.0517
1,Yes ,19940600,1,1,0.95,5.9064,2.6586,3.0597
1,Yes ,19950900,0.9967,0.9975,0.95,3.231,2.6254,3.0275
0,Yes ,19960400,0.997,0.9972,0.95,3.5236,2.3401,2.6942
0,Yes ,19961000,0.9999,0.9999,0.95,5.7731,2.2409,2.5784
1,Yes ,19970400,0.9993,0.9995,0.95,3.2101,2.6982,3.1255
0,YifD,20040700,0.9673,0.9728,0.95,1.8305,2.6974,3.1255
