"id" "date" "base" "base_trend+meanShift" "base_mean_adj" "base_anomaly" "fit_of_base_anomaly" "annualC+meanShifts" "QM_adjusted" "fit_of_deseason_base"
1 1953-01-01 13.98 11.8601 9.4423 4.9377 3.6374 12.6797 8.7489 4.0902
2 1953-02-01 11.99 11.863 7.4523 3.0951 3.6403 12.5351 7.5061 4.0829
3 1953-03-01 13.02 11.8658 8.4823 3.7741 3.6431 12.889 8.0366 4.0756
4 1953-04-01 11.26 11.8687 6.7223 2.0593 3.646 12.8466 6.9852 4.0683
5 1953-05-01 12.21 11.8715 7.6723 3.7929 3.6488 12.0659 7.5819 4.061
6 1953-06-01 10.96 11.8744 6.4223 2.9397 3.6517 11.6719 6.7329 4.0537
7 1953-07-01 11.48 11.8772 6.9423 4.2711 3.6545 10.8634 7.1585 4.0464
8 1953-08-01 9.54 11.8801 5.0023 2.9079 3.6574 10.2894 5.5382 4.0392
9 1953-09-01 10.55 11.8829 6.0123 4.1515 3.6602 10.0587 6.3933 4.0319
10 1953-10-01 9.89 11.8858 5.3523 2.6655 3.663 10.8876 5.8659 4.0246
11 1953-11-01 15.23 11.8886 10.6923 6.4377 3.6659 12.4582 9.9148 4.0173
12 1953-12-01 13.74 11.8915 9.2023 4.1445 3.6687 13.2643 8.5688 4.01
13 1954-01-01 14.97 11.8943 10.4323 5.9277 3.6716 12.7138 9.6633 4.0027
14 1954-02-01 15.04 11.8972 10.5023 6.1451 3.6744 12.5693 9.7306 3.9954
15 1954-03-01 14.04 11.9 9.5023 4.7941 3.6773 12.9232 8.7922 3.9881
16 1954-04-01 14.53 11.9029 9.9923 5.3293 3.6801 12.8808 9.2606 3.9809
17 1954-05-01 12.93 11.9057 8.3923 4.5129 3.683 12.1001 8.0264 3.9736
18 1954-06-01 13.39 11.9086 8.8523 5.3697 3.6858 11.7061 8.3763 3.9663
19 1954-07-01 11.46 11.9114 6.9223 4.2511 3.6887 10.8975 7.1608 3.959
20 1954-08-01 9.59 11.9143 5.0523 2.9579 3.6915 10.3236 5.5843 3.9517
21 1954-09-01 9.17 11.9171 4.6323 2.7715 3.6944 10.0929 5.1858 3.9444
22 1954-10-01 10.86 11.92 6.3223 3.6355 3.6972 10.9217 6.6593 3.9371
23 1954-11-01 11.82 11.9228 7.2823 3.0277 3.7001 12.4923 7.4049 3.9298
24 1954-12-01 14.29 11.9256 9.7523 4.6945 3.7029 13.2984 9.0346 3.9225
25 1955-01-01 10.99 11.9285 6.4523 1.9477 3.7058 12.748 6.7739 3.9153
26 1955-02-01 13 11.9313 8.4623 4.1051 3.7086 12.6035 8.08 3.908
27 1955-03-01 15.78 11.9342 11.2423 6.5341 3.7115 12.9573 10.4621 3.9007
28 1955-04-01 15.89 11.937 11.3523 6.6893 3.7143 12.915 10.5719 3.8934
29 1955-05-01 13.63 11.9399 9.0923 5.2129 3.7172 12.1342 8.5452 3.8861
30 1955-06-01 11.43 11.9427 6.8923 3.4097 3.72 11.7403 7.1374 3.8788
31 1955-07-01 10.53 11.9456 5.9923 3.3211 3.7229 10.9317 6.3791 3.8715
32 1955-08-01 10.84 11.9484 6.3023 4.2079 3.7257 10.3578 6.6477 3.8642
33 1955-09-01 10.17 11.9513 5.6323 3.7715 3.7285 10.127 6.1064 3.857
34 1955-10-01 12.41 11.9541 7.8723 5.1855 3.7314 10.9559 7.7304 3.8497
35 1955-11-01 15.92 11.957 11.3823 7.1277 3.7342 12.5265 10.6019 3.8424
36 1955-12-01 15.69 11.9598 11.1523 6.0945 3.7371 13.3326 10.3727 3.8351
37 1956-01-01 14.09 11.9627 9.5523 5.0477 3.7399 12.7822 8.8504 3.8278
38 1956-02-01 14.62 11.9655 10.0823 5.7251 3.7428 12.6376 9.3384 3.8205
39 1956-03-01 15.15 11.9684 10.6123 5.9041 3.7456 12.9915 9.8383 3.8132
40 1956-04-01 13.65 11.9712 9.1123 4.4493 3.7485 12.9491 8.5928 3.8059
41 1956-05-01 12.38 11.9741 7.8423 3.9629 3.7513 12.1684 7.7349 3.7986
42 1956-06-01 12.58 11.9769 8.0423 4.5597 3.7542 11.7745 7.8481 3.7914
43 1956-07-01 10.65 11.9798 6.1123 3.4411 3.757 10.9659 6.4876 3.7841
44 1956-08-01 9.2 11.9826 4.6623 2.5679 3.7599 10.3919 5.2178 3.7768
45 1956-09-01 10.5 11.9855 5.9623 4.1015 3.7627 10.1612 6.361 3.7695
46 1956-10-01 12.73 11.9883 8.1923 5.5055 3.7656 10.9901 7.9283 3.7622
47 1956-11-01 10.21 11.9911 5.6723 1.4177 3.7684 12.5607 6.1403 3.7549
48 1956-12-01 15.03 11.994 10.4923 5.4345 3.7713 13.3668 9.7299 3.7476
49 1957-01-01 12.95 11.9968 8.4123 3.9077 3.7741 12.8164 8.1138 3.7403
50 1957-02-01 14.03 11.9997 9.4923 5.1351 3.777 12.6718 8.8173 3.7331
51 1957-03-01 13.84 12.0025 9.3023 4.5941 3.7798 13.0257 8.6801 3.7258
52 1957-04-01 13.01 12.0054 8.4723 3.8093 3.7827 12.9833 8.123 3.7185
53 1957-05-01 10.44 12.0082 5.9023 2.0229 3.7855 12.2026 6.3259 3.7112
54 1957-06-01 13 12.0111 8.4623 4.9797 3.7884 11.8086 8.1298 3.7039
55 1957-07-01 12.16 12.0139 7.6223 4.9511 3.7912 11.0001 7.6612 3.6966
56 1957-08-01 9.83 12.0168 5.2923 3.1979 3.794 10.4261 5.8109 3.6893
57 1957-09-01 8.83 12.0196 4.2923 2.4315 3.7969 10.1954 4.8544 3.682
58 1957-10-01 11.72 12.0225 7.1823 4.4955 3.7997 11.0243 7.3813 3.6747
59 1957-11-01 10.53 12.0253 5.9923 1.7377 3.8026 12.5949 6.4033 3.6675
60 1957-12-01 17.26 12.0282 12.7223 7.6645 3.8054 13.401 11.9427 3.6602
61 1958-01-01 13.28 12.031 8.7423 4.2377 3.8083 12.8505 8.2813 3.6529
62 1958-02-01 11.15 12.0339 6.6123 2.2551 3.8111 12.706 6.9154 3.6456
63 1958-03-01 12.26 12.0367 7.7223 3.0141 3.814 13.0598 7.6821 3.6383
64 1958-04-01 15.1 12.0396 10.5623 5.8993 3.8168 13.0175 9.7964 3.631
65 1958-05-01 10.98 12.0424 6.4423 2.5629 3.8197 12.2368 6.7834 3.6237
66 1958-06-01 10.45 12.0453 5.9123 2.4297 3.8225 11.8428 6.3423 3.6164
67 1958-07-01 9.76 12.0481 5.2223 2.5511 3.8254 11.0342 5.7501 3.6092
68 1958-08-01 11.13 12.051 6.5923 4.4979 3.8282 10.4603 6.9102 3.6019
69 1958-09-01 11.52 12.0538 6.9823 5.1215 3.8311 10.2296 7.2337 3.5946
70 1958-10-01 10.22 12.0566 5.6823 2.9955 3.8339 11.0584 6.1684 3.5873
71 1958-11-01 13.68 12.0595 9.1423 4.8877 3.8368 12.629 8.637 3.58
72 1958-12-01 13.8 12.0623 9.2623 4.2045 3.8396 13.4351 8.6761 3.5727
73 1959-01-01 15.58 12.0652 11.0423 6.5377 3.8425 12.8847 10.2636 3.5654
74 1959-02-01 14.7 12.068 10.1623 5.8051 3.8453 12.7402 9.4243 3.5581
75 1959-03-01 14.89 12.0709 10.3523 5.6441 3.8482 13.094 9.6031 3.5508
76 1959-04-01 14.09 12.0737 9.5523 4.8893 3.851 13.0517 8.8871 3.5436
77 1959-05-01 12.71 12.0766 8.1723 4.2929 3.8539 12.2709 7.9432 3.5363
78 1959-06-01 11.69 12.0794 7.1523 3.6697 3.8567 11.877 7.3601 3.529
79 1959-07-01 10.26 12.0823 5.7223 3.0511 3.8595 11.0684 6.2025 3.5217
80 1959-08-01 12.12 12.0851 7.5823 5.4879 3.8624 10.4945 7.6648 3.5144
81 1959-09-01 11.64 12.088 7.1023 5.2415 3.8652 10.2637 7.3263 3.5071
82 1959-10-01 10.46 12.0908 5.9223 3.2355 3.8681 11.0926 6.3651 3.4998
83 1959-11-01 13.85 12.0937 9.3123 5.0577 3.8709 12.6632 8.7138 3.4925
84 1959-12-01 11.92 12.0965 7.3823 2.3245 3.8738 13.4693 7.5294 3.4852
85 1960-01-01 13.87 12.0994 9.3323 4.8277 3.8766 12.9189 8.7217 3.478
86 1960-02-01 15 12.1022 10.4623 6.1051 3.8795 12.7743 9.7082 3.4707
87 1960-03-01 15.08 12.1051 10.5423 5.8341 3.8823 13.1282 9.7838 3.4634
88 1960-04-01 14.16 12.1079 9.6223 4.9593 3.8852 13.0858 8.9379 3.4561
89 1960-05-01 13.18 12.1108 8.6423 4.7629 3.888 12.3051 8.2438 3.4488
90 1960-06-01 11.84 12.1136 7.3023 3.8197 3.8909 11.9112 7.492 3.4415
91 1960-07-01 9.83 12.1165 5.2923 2.6211 3.8937 11.1026 5.8156 3.4342
92 1960-08-01 11.67 12.1193 7.1323 5.0379 3.8966 10.5286 7.3638 3.4269
93 1960-09-01 10.38 12.1221 5.8423 3.9815 3.8994 10.2979 6.2978 3.4197
94 1960-10-01 10.63 12.125 6.0923 3.4055 3.9023 11.1268 6.4971 3.4124
95 1960-11-01 12.04 12.1278 7.5023 3.2477 3.9051 12.6974 7.612 3.4051
96 1960-12-01 10.44 12.1307 5.9023 0.8445 3.908 13.5035 6.3514 3.3978
97 1961-01-01 12.07 12.1335 7.5323 3.0277 3.9108 12.9531 7.6286 3.3905
